가는 편,가는 편,가는 편,가는 편,오는 편,오는 편,오는 편,오는 편,구분,구분
에티하드항공,18:00 (ICN),16:35 (BCN),"경유 2, 29시간 35분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,551,000"
"중국동방항공, 에어프랑스",08:55 (ICN),22:55 (BCN),"경유 2, 21시간 00분","중국동방항공, 에어프랑스",06:20 (BCN),17:25 (ICN),"경유 2, 28시간 05분",성인/삼성카드,"1,551,100"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,06:50 (BCN),22:40 (ICN),"경유 2, 32시간 50분",성인/BC바로카드,"1,556,500"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,11:40 (BCN),11:40 (ICN),"경유 2, 41시간 00분",성인/롯데카드,"1,560,400"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,562,100"
에어프랑스,10:50 (ICN),11:40 (BCN),"경유 1, 31시간 50분",KLM네덜란드항공,06:20 (BCN),08:40 (ICN),"경유 2, 19시간 20분",성인/롯데 Trip to 로카 카드,"1,563,600"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,21:10 (BCN),08:40 (ICN),"경유 1, 28시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,565,400"
에미레이트항공,23:55 (ICN),08:35 (BCN),"경유 1, 39시간 40분",에미레이트항공,21:00 (BCN),17:00 (ICN),"경유 1, 37시간 00분",성인/삼성카드,"1,574,000"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,16:50 (BCN),11:40 (ICN),"경유 2, 35시간 50분",성인/롯데카드,"1,578,100"
에티하드항공,18:00 (ICN),14:20 (BCN),"경유 2, 27시간 20분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,579,200"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,581,700"
에티하드항공,18:00 (ICN),10:50 (BCN),"경유 2, 23시간 50분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/롯데카드,"1,583,500"
에티하드항공,07:55 (ICN),07:55 (BCN),"경유 2, 31시간 00분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/모든 결제수단,"1,585,800"
에티하드항공,18:00 (ICN),14:20 (BCN),"경유 2, 27시간 20분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/모든 결제수단,"1,586,000"
에티하드항공,18:00 (ICN),16:35 (BCN),"경유 2, 29시간 35분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,588,400"
에티하드항공,18:00 (ICN),14:20 (BCN),"경유 2, 27시간 20분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,592,800"
LOT폴란드항공,12:30 (ICN),12:30 (BCN),"경유 1, 31시간 00분",LOT폴란드항공,13:25 (BCN),06:20 (ICN),"경유 1, 33시간 55분",성인/KB국민카드(이용실적 충족시),"1,595,000"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,16:50 (BCN),11:40 (ICN),"경유 2, 35시간 50분",성인/BC바로카드,"1,596,000"
"아시아나항공, 오스트리아항공",20:40 (ICN),19:50 (BCN),"경유 2, 54시간 10분","아시아나항공, 오스트리아항공",20:40 (BCN),08:50 (ICN),"경유 2, 29시간 10분",성인/KB국민카드(이용실적 충족시),"1,596,700"
에어프랑스,10:50 (ICN),14:20 (BCN),"경유 1, 34시간 30분",에어프랑스,06:10 (BCN),08:40 (ICN),"경유 1, 19시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,596,900"
터키항공,10:25 (ICN),23:00 (BCN),"경유 1, 19시간 35분",터키항공,19:00 (BCN),17:40 (ICN),"경유 1, 15시간 40분",성인/KB국민카드(이용실적 충족시),"1,597,600"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,18:05 (BCN),16:25 (ICN),"경유 2, 39시간 20분",성인/롯데 Trip to 로카 카드,"1,598,700"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,599,500"
"아시아나항공, 루프트한자",21:10 (ICN),23:05 (BCN),"경유 2, 32시간 55분",오스트리아항공,20:40 (BCN),08:50 (ICN),"경유 2, 29시간 10분",성인/KB국민카드(이용실적 충족시),"1,600,100"
KLM네덜란드항공,10:50 (ICN),22:45 (BCN),"경유 2, 42시간 55분",KLM네덜란드항공,06:20 (BCN),08:40 (ICN),"경유 2, 19시간 20분",성인/롯데 Trip to 로카 카드,"1,601,400"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,16:50 (BCN),11:40 (ICN),"경유 2, 35시간 50분",성인/BC바로카드,"1,604,000"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,21:10 (BCN),16:25 (ICN),"경유 2, 36시간 15분",성인/NH채움카드,"1,605,000"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,18:05 (BCN),08:40 (ICN),"경유 1, 31시간 35분",성인/KB국민카드(이용실적 충족시),"1,611,200"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",LOT폴란드항공,13:25 (BCN),06:20 (ICN),"경유 1, 33시간 55분",성인/모든 결제수단,"1,611,500"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,15:15 (BCN),15:55 (ICN),"경유 1, 17시간 40분",성인/모든 결제수단,"1,613,200"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/BC바로카드,"1,613,300"
LOT폴란드항공,12:30 (ICN),12:30 (BCN),"경유 1, 31시간 00분",LOT폴란드항공,16:10 (BCN),10:50 (ICN),"경유 2, 35시간 40분",성인/롯데카드,"1,617,800"
터키항공,10:25 (ICN),17:35 (BCN),"경유 1, 38시간 10분",터키항공,19:00 (BCN),17:40 (ICN),"경유 1, 15시간 40분",성인/KB국민카드(이용실적 충족시),"1,619,800"
에어프랑스,20:30 (ICN),20:15 (BCN),"경유 2, 30시간 45분",KLM네덜란드항공,06:20 (BCN),08:40 (ICN),"경유 2, 19시간 20분",성인/롯데 Trip to 로카 카드,"1,620,100"
에티하드항공,18:00 (ICN),08:55 (BCN),"경유 2, 45시간 55분",에티하드항공,06:25 (BCN),11:40 (ICN),"경유 2, 22시간 15분",성인/BC바로카드,"1,620,500"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 39시간 00분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,620,900"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,06:25 (BCN),11:40 (ICN),"경유 2, 22시간 15분",성인/BC바로카드,"1,624,100"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,17:15 (BCN),22:40 (ICN),"경유 2, 22시간 25분",성인/BC바로카드,"1,625,800"
에어프랑스,10:50 (ICN),22:55 (BCN),"경유 1, 19시간 05분",에어프랑스,09:50 (BCN),08:40 (ICN),"경유 1, 15시간 50분",성인/KB국민카드(이용실적 충족시),"1,626,300"
에티하드항공,18:00 (ICN),10:50 (BCN),"경유 2, 23시간 50분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,626,600"
에어프랑스,10:50 (ICN),22:55 (BCN),"경유 1, 19시간 05분",KLM네덜란드항공,19:40 (BCN),16:25 (ICN),"경유 1, 37시간 45분",성인/KB국민카드(이용실적 충족시),"1,627,200"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",에어프랑스,09:50 (BCN),08:40 (ICN),"경유 1, 15시간 50분",성인/모든 결제수단,"1,627,300"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 39시간 00분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/모든 결제수단,"1,627,800"
에어프랑스,10:50 (ICN),11:40 (BCN),"경유 1, 31시간 50분",에어프랑스,09:50 (BCN),08:40 (ICN),"경유 1, 15시간 50분",성인/KB국민카드(이용실적 충족시),"1,628,100"
에어프랑스,10:50 (ICN),11:40 (BCN),"경유 1, 31시간 50분",KLM네덜란드항공,19:40 (BCN),16:25 (ICN),"경유 1, 37시간 45분",성인/KB국민카드(이용실적 충족시),"1,629,000"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,17:15 (BCN),22:40 (ICN),"경유 2, 22시간 25분",성인/BC바로카드,"1,629,700"
에티하드항공,18:00 (ICN),14:20 (BCN),"경유 2, 27시간 20분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,630,100"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",에어프랑스,06:10 (BCN),08:40 (ICN),"경유 1, 19시간 30분",성인/모든 결제수단,"1,634,100"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 39시간 00분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,634,500"
에티하드항공,18:00 (ICN),08:55 (BCN),"경유 2, 45시간 55분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/BC바로카드,"1,634,600"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,18:05 (BCN),15:55 (ICN),"경유 1, 14시간 50분",성인/모든 결제수단,"1,634,700"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/BC바로카드,"1,638,200"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",터키항공,07:50 (BCN),08:45 (ICN),"경유 1, 17시간 55분",성인/모든 결제수단,"1,639,600"
에티하드항공,18:00 (ICN),10:50 (BCN),"경유 2, 23시간 50분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,640,200"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",KLM네덜란드항공,19:40 (BCN),16:25 (ICN),"경유 1, 37시간 45분",성인/모든 결제수단,"1,640,500"
에티하드항공,18:00 (ICN),08:55 (BCN),"경유 2, 45시간 55분",에티하드항공,06:50 (BCN),22:40 (ICN),"경유 2, 32시간 50분",성인/BC바로카드,"1,644,600"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,06:50 (BCN),22:40 (ICN),"경유 2, 32시간 50분",성인/BC바로카드,"1,648,200"
에티하드항공,18:00 (ICN),16:35 (BCN),"경유 2, 29시간 35분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/모든 결제수단,"1,651,900"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",핀에어,10:05 (BCN),11:20 (ICN),"경유 1, 18시간 15분",성인/모든 결제수단,"1,653,000"
KLM네덜란드항공,10:50 (ICN),22:45 (BCN),"경유 2, 42시간 55분",에어프랑스,06:10 (BCN),08:40 (ICN),"경유 1, 19시간 30분",성인/롯데 Trip to 로카 카드,"1,655,100"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/모든 결제수단,"1,660,900"
에티하드항공,00:55 (ICN),22:45 (BCN),"경유 2, 28시간 50분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/BC바로카드,"1,665,600"
"아시아나항공, 루프트한자",21:10 (ICN),23:05 (BCN),"경유 2, 32시간 55분","아시아나항공, 루프트한자",08:00 (BCN),04:10 (ICN),"경유 2, 37시간 10분",성인/모든 결제수단,"1,666,900"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 39시간 00분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,671,900"
에어프랑스,20:30 (ICN),20:15 (BCN),"경유 2, 30시간 45분",에어프랑스,06:10 (BCN),08:40 (ICN),"경유 1, 19시간 30분",성인/롯데 Trip to 로카 카드,"1,673,400"
KLM네덜란드항공,23:05 (ICN),10:25 (BCN),"경유 1, 18시간 20분",에어프랑스,06:10 (BCN),08:40 (ICN),"경유 1, 19시간 30분",성인/모든 결제수단,"1,673,700"
에티하드항공,18:00 (ICN),10:50 (BCN),"경유 2, 23시간 50분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,677,600"
에미레이트항공,23:55 (ICN),08:35 (BCN),"경유 1, 39시간 40분",에미레이트항공,15:30 (BCN),21:05 (ICN),"경유 1, 22시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,680,800"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/모든 결제수단,"1,689,800"
에어프랑스,10:50 (ICN),14:20 (BCN),"경유 1, 34시간 30분",에어프랑스,09:50 (BCN),08:40 (ICN),"경유 1, 15시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,690,700"
에어프랑스,10:50 (ICN),14:20 (BCN),"경유 1, 34시간 30분",KLM네덜란드항공,19:40 (BCN),16:25 (ICN),"경유 1, 37시간 45분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,691,100"
LOT폴란드항공,08:15 (ICN),12:30 (BCN),"경유 2, 35시간 15분",LOT폴란드항공,16:10 (BCN),10:50 (ICN),"경유 2, 35시간 40분",성인/롯데카드,"1,692,500"
에티하드항공,18:00 (ICN),16:35 (BCN),"경유 2, 29시간 35분",에티하드항공,06:25 (BCN),11:40 (ICN),"경유 2, 22시간 15분",성인/모든 결제수단,"1,693,300"
에티하드항공,00:55 (ICN),22:45 (BCN),"경유 2, 28시간 50분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/모든 결제수단,"1,694,900"
에어프랑스,10:50 (ICN),22:55 (BCN),"경유 1, 19시간 05분",에어프랑스,21:10 (BCN),16:25 (ICN),"경유 2, 36시간 15분",성인/NH채움카드,"1,695,000"
에티하드항공,18:00 (ICN),14:20 (BCN),"경유 2, 27시간 20분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/모든 결제수단,"1,695,400"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/모든 결제수단,"1,696,300"
"아시아나항공, 루프트한자",21:10 (ICN),09:40 (BCN),"경유 2, 43시간 30분",오스트리아항공,20:40 (BCN),08:50 (ICN),"경유 2, 29시간 10분",성인/KB국민카드(이용실적 충족시),"1,704,100"
에어프랑스,10:50 (ICN),22:55 (BCN),"경유 1, 19시간 05분",에어프랑스,21:10 (BCN),08:40 (ICN),"경유 1, 28시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,704,200"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/모든 결제수단,"1,706,100"
터키항공,10:25 (ICN),23:00 (BCN),"경유 1, 19시간 35분",터키항공,11:35 (BCN),17:40 (ICN),"경유 1, 23시간 05분",성인/KB국민카드(이용실적 충족시),"1,712,600"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",에미레이트항공,21:00 (BCN),21:05 (ICN),"경유 1, 17시간 05분",성인/모든 결제수단,"1,715,700"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,18:05 (BCN),16:25 (ICN),"경유 2, 39시간 20분",성인/롯데 Trip to 로카 카드,"1,717,200"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,21:10 (BCN),16:25 (ICN),"경유 2, 36시간 15분",성인/NH채움카드,"1,722,800"
에티하드항공,00:55 (ICN),18:50 (BCN),"경유 2, 48시간 55분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/모든 결제수단,"1,723,400"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,06:25 (BCN),11:40 (ICN),"경유 2, 22시간 15분",성인/모든 결제수단,"1,723,900"
에어프랑스,11:10 (ICN),09:00 (BCN),"경유 1, 28시간 50분",에어프랑스,06:10 (BCN),08:40 (ICN),"경유 1, 19시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,725,400"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",터키항공,19:00 (BCN),17:40 (ICN),"경유 1, 15시간 40분",성인/모든 결제수단,"1,727,800"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",KLM네덜란드항공,19:40 (BCN),08:40 (ICN),"경유 2, 30시간 00분",성인/롯데 Trip to 로카 카드,"1,729,500"
"아시아나항공, 루프트한자",21:10 (ICN),23:05 (BCN),"경유 2, 32시간 55분","아시아나항공, 루프트한자",08:00 (BCN),09:55 (ICN),"경유 1, 18시간 55분",성인/롯데카드,"1,730,400"
LOT폴란드항공,12:30 (ICN),12:30 (BCN),"경유 1, 31시간 00분",LOT폴란드항공,16:10 (BCN),10:50 (ICN),"경유 2, 35시간 40분",성인/롯데카드,"1,730,900"
에티하드항공,00:55 (ICN),15:55 (BCN),"경유 2, 46시간 00분",에티하드항공,17:15 (BCN),22:40 (ICN),"경유 2, 22시간 25분",성인/모든 결제수단,"1,731,100"
에티하드항공,18:00 (ICN),16:35 (BCN),"경유 2, 29시간 35분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/모든 결제수단,"1,731,800"
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,06:50 (BCN),11:40 (ICN),"경유 2, 21시간 50분",성인/롯데카드,"1,734,400"
터키항공,10:25 (ICN),17:35 (BCN),"경유 1, 38시간 10분",터키항공,11:35 (BCN),17:40 (ICN),"경유 1, 23시간 05분",성인/KB국민카드(이용실적 충족시),"1,734,800"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",에미레이트항공,21:00 (BCN),17:00 (ICN),"경유 1, 37시간 00분",성인/모든 결제수단,"1,734,900"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,06:25 (BCN),11:40 (ICN),"경유 2, 22시간 15분",성인/모든 결제수단,"1,735,000"
대한항공,11:50 (ICN),22:45 (BCN),"경유 1, 17시간 55분",대한항공,17:15 (BCN),16:25 (ICN),"경유 1, 16시간 10분",성인/KB국민카드(이용실적 충족시),"1,735,200"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",루프트한자,08:00 (BCN),09:55 (ICN),"경유 1, 18시간 55분",성인/모든 결제수단,"1,736,300"
